datetime,TI_150m_A,TI_150m_B,TI_120m,TI_100m,TI_80m,TI_50m,TI_30m,TI_10m
2026-07-07 19:30:00,0.09986,0.103649,0.110717,0.105465,0.101767,0.115636,0.16155,0.26145
2026-07-07 19:40:00,0.127334,0.126838,0.137216,0.147246,0.128569,0.133333,0.179202,0.334518
2026-07-07 19:50:00,0.073765,0.0751,0.069102,0.070514,0.078774,0.115587,0.164754,0.270796
2026-07-07 20:00:00,0.101135,0.101555,0.093557,0.093685,0.095633,0.127903,0.163438,0.350885
2026-07-07 20:10:00,0.096947,0.093177,0.090615,0.096396,0.094395,0.100073,0.148609,0.279763
2026-07-07 20:20:00,0.100281,0.106815,0.092196,0.094863,0.086508,0.106823,0.166616,0.33302
2026-07-07 20:30:00,0.089437,0.088711,0.094243,0.102103,0.094295,0.11079,0.179288,0.30429
2026-07-07 20:40:00,0.078132,0.07698,0.078656,0.068076,0.071572,0.112384,0.158753,0.383993
2026-07-07 20:50:00,0.095695,0.093074,0.095549,0.093006,0.083103,0.125786,0.179236,0.39696
2026-07-07 21:00:00,0.123895,0.119076,0.116463,0.103533,0.107932,0.109036,0.16407,0.480158
2026-07-07 21:10:00,0.087748,0.089382,0.083561,0.093292,0.118825,0.147026,0.240194,0.708369
2026-07-07 21:20:00,0.107005,0.106476,0.115692,0.124138,0.130404,0.134797,0.201848,0.668109
2026-07-07 21:30:00,0.115554,0.11669,0.105558,0.116149,0.128033,0.195935,0.333474,0.751088
2026-07-07 21:40:00,0.136348,0.132473,0.133908,0.144338,0.169279,0.244047,0.433487,0.698287
2026-07-07 21:50:00,0.119792,0.114976,0.134024,0.132595,0.140376,0.153142,0.204935,0.490787
2026-07-07 22:00:00,0.149117,0.146076,0.155598,0.161746,0.161576,0.181322,0.219598,0.483906
2026-07-07 22:10:00,0.108001,0.105583,0.116073,0.130035,0.130269,0.164649,0.221758,0.608247
2026-07-07 22:20:00,0.117067,0.121794,0.119336,0.130916,0.119984,0.153034,0.192669,0.347444
2026-07-07 22:30:00,0.098987,0.1037,0.116803,0.122704,0.114438,0.15808,0.201003,0.457184
2026-07-07 22:40:00,0.090459,0.091953,0.110566,0.119375,0.120295,0.113529,0.169474,0.349803
2026-07-07 22:50:00,0.152049,0.152527,0.12933,0.121538,0.136527,0.147594,0.174717,0.501923
2026-07-07 23:00:00,0.100882,0.101626,0.101735,0.111207,0.118929,0.130429,0.164771,0.241707
2026-07-07 23:10:00,0.120988,0.120915,0.121824,0.124469,0.11438,0.109652,0.149619,0.278946
2026-07-07 23:20:00,0.086171,0.079496,0.10679,0.120726,0.120905,0.120204,0.150383,0.334221
2026-07-07 23:30:00,0.111218,0.112196,0.115504,0.12512,0.129794,0.127834,0.1567,0.396834
2026-07-07 23:40:00,0.101745,0.102813,0.101457,0.110509,0.108882,0.123279,0.18259,0.275972
2026-07-07 23:50:00,0.120044,0.119941,0.104532,0.110193,0.103934,0.127015,0.15246,0.249867
